MS_grad,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6
1.042232331,0.2831572,0.26827574,0.7417534,0.25544733,0.48632342,0.50388807
3.860378902,0.25801873,0.28017828,0.78303957,0.28849119,0.59183484,0.59151614
1.031278451,0.2896474,0.26540208,0.75922704,0.32863504,0.55182147,0.48499286
1.422898728,0.31979397,0.26793408,0.77331698,0.24953419,0.6315577,0.60830581
3.98479545,0.26390249,0.2818158,0.75064105,0.33618841,0.66581553,0.61301529
4.415668391,0.27968708,0.26286659,0.7678771,0.38637197,0.66729724,0.57438838
3.652166372,0.29682115,0.26149678,0.6951654,0.30393255,0.53508228,0.55455542
-6.734422466,0.25680724,0.22200258,0.75820285,0.22958271,0.59154123,0.63576967
-2.894757454,0.27577981,0.25182369,0.83473539,0.25711173,0.56892598,0.61191869
-3.994894655,0.27240497,0.22424807,0.73620617,0.20239075,0.50545484,0.49109977
-0.956637564,0.29934862,0.24857433,0.79781806,0.20466983,0.67922801,0.65429896
-0.80120239,0.2664541,0.26903668,0.77476084,0.29572251,0.6392405,0.67111498
-1.946383072,0.26249316,0.26428267,0.74320138,0.26941621,0.65440744,0.60632557
-6.188710637,0.29305747,0.25886831,0.78359175,0.2385973,0.54868019,0.52725595
1.023643471,0.29964828,0.26553416,0.83529288,0.25346389,0.70685267,0.72189122
1.71745484,0.30273789,0.28437647,0.7805962,0.27317911,0.56633669,0.55504197
-0.23244559,0.34067181,0.28418088,0.85908139,0.28207964,0.50734007,0.54874754
-3.097389007,0.2925292,0.26690352,0.88660008,0.28289443,0.55582589,0.55876195
-3.898530719,0.2670683,0.26360488,0.75296837,0.25574189,0.62294573,0.61922187
-0.190044347,0.28042912,0.26754236,0.81570387,0.2808648,0.70000827,0.64454603
-3.212233579,0.27017173,0.23883036,0.74611068,0.24097222,0.57070118,0.58198088
2.332070535,0.30143839,0.26827842,0.89147556,0.19245873,0.65957141,0.66030943
0.35258358,0.30960184,0.28214982,0.86856025,0.26038674,0.63147759,0.65864688
0.600921947,0.31640363,0.2560603,0.841681,0.18680261,0.61136377,0.57137936
-1.972307116,0.28294215,0.26799613,0.78101182,0.28873199,0.6741612,0.66740328
-0.170434624,0.34953052,0.26343843,0.77244687,0.23879471,0.53554165,0.53038543
-4.099208482,0.36981738,0.29149958,0.74098307,0.24597824,0.40731245,0.42640629
-5.091199521,0.28909472,0.24937642,0.81045294,0.23561895,0.64813352,0.6218037
0.602666528,0.27534658,0.22508262,0.75067443,0.19636129,0.54397273,0.54883391
-4.711311159,0.24903107,0.20388103,0.74087882,0.21798825,0.49343219,0.52172053
2.046504752,0.33605039,0.29382378,0.90756023,0.22830279,0.59152371,0.63040131
-0.242237204,0.29569963,0.24828434,0.84567434,0.20232885,0.63364744,0.6527217
1.571381053,0.33897397,0.27465934,0.81083447,0.20829371,0.53984737,0.52377576
-0.035788566,0.30494338,0.27048936,0.84234816,0.28550926,0.62840158,0.67549747
-0.446355264,0.26375827,0.27293056,0.82679826,0.28381297,0.57502317,0.59467947
-0.150068317,0.27657202,0.28081116,0.81985098,0.29723084,0.68183458,0.66754985
-2.167493806,0.27357581,0.25800806,0.8140586,0.24897958,0.60502863,0.61558658
-1.548249167,0.27248493,0.25398999,0.73951852,0.25207317,0.57231838,0.60412467
0.207741271,0.23674016,0.20163402,0.6982004,0.19304159,0.55022544,0.50858468
-0.249356836,0.29258621,0.27568716,0.84459108,0.28759283,0.56444645,0.60916734
-0.604892792,0.25548664,0.25187674,0.78456283,0.25554064,0.54571521,0.57422358
0.124607103,0.3085708,0.25101256,0.74997187,0.2280563,0.45512238,0.46478939
1.200682752,0.27135697,0.26140082,0.79790694,0.28556031,0.54587573,0.52343386
-1.498040333,0.25872853,0.21574323,0.72710627,0.17189579,0.58517534,0.58330441
-0.909932033,0.2941494,0.27065107,0.76670057,0.25808203,0.56062067,0.54481339
2.518298061,0.29026023,0.25758877,0.84672475,0.23868763,0.52343822,0.53804839
0.152290454,0.26246074,0.21448925,0.67720705,0.23568045,0.54293662,0.56506759
-7.254449578,0.2776342,0.24979997,0.85694849,0.28028068,0.63951612,0.67690802
-1.694479591,0.32094711,0.25853974,0.83997023,0.25408572,0.61494857,0.60414642
-2.145826719,0.28700131,0.26149756,0.79518163,0.26330462,0.50292379,0.52325344
4.450121247,0.27389744,0.24901006,0.73892123,0.17855507,0.56322736,0.59070438
-1.166276413,0.30999619,0.24780861,0.75177836,0.22542009,0.52397323,0.52154088
7.427503689,0.24170519,0.26215425,0.75955862,0.16292484,0.62188309,0.62074876
7.472486738,0.24992132,0.26677504,0.82188702,0.19378465,0.73716128,0.6696139
6.964919908,0.37806207,0.26115891,0.83719641,0.22740166,0.50111204,0.58470821
6.45314448,0.4096508,0.27649724,0.8651551,0.22398183,0.51584321,0.55240077
4.950123723,0.37313727,0.25784031,0.77743047,0.21260931,0.57018578,0.54362845
6.495346172,0.28284004,0.25112787,0.74254614,0.2477386,0.76826829,0.68446332
3.221138577,0.22870736,0.19372277,0.53592145,0.18633641,0.48492619,0.62795115
-1.744388514,0.3117128,0.24724193,0.75091875,0.23853733,0.54907084,0.53564888
0.807164944,0.26006907,0.23996072,0.75950074,0.22846292,0.59195977,0.54040164
2.738311948,0.29900756,0.25131571,0.82297492,0.25305957,0.64455265,0.68786871
3.04245987,0.25032231,0.22100084,0.57752705,0.18752381,0.46096045,0.54343629
2.107308881,0.27870715,0.26404855,0.7461555,0.24244036,0.66861868,0.6582194
2.331551082,0.28918648,0.26667252,0.76630062,0.24109937,0.50915843,0.55770898
1.708967511,0.26800892,0.2320458,0.6924023,0.23753686,0.56036156,0.56457078
-1.236718344,0.28336927,0.24665754,0.72838604,0.24229887,0.57603598,0.60169077
0.117885375,0.28700733,0.23664472,0.7804324,0.19289097,0.70549935,0.68173707
-0.2511237,0.39340925,0.30682632,0.79970902,0.23190673,0.5355823,0.53988838
-0.713095927,0.28756839,0.24807969,0.79133457,0.25129017,0.7422086,0.7218833
0.805915937,0.32082346,0.26701525,0.8254745,0.25594884,0.49452674,0.53172904
-1.482274348,0.35900766,0.28022417,0.77205539,0.2367768,0.51728004,0.50873458
3.889504365,0.27281222,0.26303431,0.84018844,0.37704876,0.60896611,0.57302821
2.605347012,0.26023194,0.28079432,0.8505888,0.29941055,0.67252582,0.66448438
1.676230386,0.31865945,0.25055692,0.69436896,0.21951424,0.57908541,0.58748931
0.518248594,0.32159317,0.2499446,0.79855376,0.20503905,0.66038281,0.65055668
-0.036649564,0.30008259,0.21394716,0.68860823,0.13857602,0.53237933,0.51014972
0.91494818,0.31595412,0.26241997,0.75437415,0.1901609,0.49875528,0.51672822
5.676190779,0.29034325,0.24718021,0.77992237,0.1904327,0.61012763,0.59939563
-3.259331465,0.28910252,0.18546723,0.64953089,0.1297624,0.46676272,0.53010678
5.813584467,0.25747758,0.19251604,0.72042692,0.18535432,0.62365943,0.6688723
-9.669832175,0.20666876,0.15716262,0.52076316,0.11267799,0.43160412,0.49827132
0.502448806,0.23470749,0.20437227,0.68791294,0.17199136,0.57321626,0.60906261
